word,frequency,scaled_frequency
about,1226734006,1
other,978481319,0.7976312013967
which,810514085,0.6607089075837
their,782849411,0.6381574222049
there,701170205,0.5715747681001
first,578161543,0.4713014721791
would,572644147,0.4668038419080
these,541003982,0.4410116450298
click,536746424,0.4375410002289
price,501651226,0.4089323549738
state,453104133,0.3693580929393
email,443949646,0.3618956055906
world,431934249,0.3521009826803
music,414028837,0.3375049806845
after,372948094,0.3040170829013
video,365410017,0.2978722487620
where,360468339,0.2938439280536
books,347710184,0.2834438291425
links,339926541,0.2770988163183
years,337841309,0.2753989922409
order,336631187,0.2744125338937
items,330505325,0.2694188987861
group,321842984,0.2623575953922
under,313296421,0.2553906710564
games,305930896,0.2493864965866
could,302311431,0.2464360077420
great,301487430,0.2457643046703
hotel,297974790,0.2429008966431
store,291308910,0.2374670536361
terms,277705910,0.2263782601947
right,273620358,0.2230478299792
local,270742935,0.2207022334718
those,270014141,0.2201081405418
using,269448880,0.2196473552393
phone,256643812,0.2092090141341
forum,254478181,0.2074436509914
based,252405204,0.2057538168547
black,244690155,0.1994647199827
check,244491090,0.1993024476408
index,242826246,0.1979453123598
being,242783091,0.1979101335844
women,242520455,0.1976960399026
today,239271204,0.1950473393822
south,238581133,0.1944848123824
pages,234001114,0.1907513061964
found,232005894,0.1891248574387
house,231310420,0.1885579260611
photo,227125249,0.1851462891622
power,226596368,0.1847151598404
while,226194991,0.1843879682911
three,223417394,0.1821237472078
total,222649459,0.1814977476054
place,220970235,0.1801288901418
think,217856550,0.1775906993158
north,217809513,0.1775523560403
posts,216822128,0.1767474668017
media,216432510,0.1764298608675
water,215178488,0.1754076164413
since,214302926,0.1746938822531
guide,213378807,0.1739405657268
board,212361059,0.1731109254014
white,209863729,0.1710751703088
small,208371878,0.1698590541885
times,202950880,0.1654400049296
sites,202755734,0.1652809272494
level,202563642,0.1651243391063
hours,198242904,0.1616021916979
image,197874283,0.1613017019437
title,196676017,0.1603249082833
shall,191963867,0.1564836925210
