word,score,scaled_score
aahed,6261,0.5628877101501394
aalii,5004,0.4498786298660433
aargh,4982,0.44790074620156434
aarti,5370,0.48278342173873956
abaca,3137,0.2820282297941203
abaci,2738,0.24615661242470557
aback,2715,0.2440888249572957
abacs,6408,0.5761035691809764
abaft,3011,0.27070035062483144
abaka,3231,0.2904791872696215
abamp,2601,0.2338397914231772
aband,3660,0.32904791872696215
abase,4086,0.3673469387755102
abash,2934,0.2637777577991549
abask,2824,0.25388833947675987
abate,4468,0.40169019149510027
abaya,2839,0.25523689652072284
abbas,6174,0.5550660792951542
abbed,4296,0.3862267373909916
abbes,7424,0.6674458329587342
abbey,4771,0.42893104378315206
abbot,2573,0.23132248494111302
abcee,5051,0.45410410860379397
abeam,2954,0.26557583385777217
abear,3445,0.3097186010968264
abele,3989,0.3586262698912164
abers,6365,0.5722377056549492
abets,6546,0.5885102939854355
abhor,2306,0.20731816955857232
abide,3854,0.34648925649554974
abies,8137,0.7315472444484402
abled,4810,0.43243729209745574
abler,4661,0.419041625460757
ables,7938,0.7136563876651982
ablet,4714,0.4238065270160928
ablow,2425,0.21801672210734513
abmho,1950,0.17531241571518474
abode,3796,0.3412748359255596
abohm,2223,0.1998561539153106
aboil,3161,0.284185921064461
aboma,2887,0.2595522790614043
aboon,3032,0.2725883304863796
abord,3344,0.3006383170008091
abore,4041,0.3633012676436213
abort,3248,0.2920075519194462
about,2933,0.263687853996224
above,3480,0.31286523419940665
abram,3269,0.2938955317809943
abray,4384,0.39413827204890767
abrim,3076,0.27654409781533756
abrin,3424,0.30783062123527827
abris,6844,0.6153016272588331
absey,4968,0.44664209296053226
absit,2954,0.26557583385777217
abuna,2948,0.265036411040187
abune,3788,0.3405556055021127
abuse,3517,0.3161916749078486
abuts,6330,0.569091072552369
abuzz,1641,0.14753214060954778
abyes,7303,0.6565674728040997
abysm,1727,0.15526386766160208
abyss,5495,0.49402139710509757
acais,6977,0.6272588330486379
acari,3143,0.28256765261170547
accas,6327,0.5688213611435764
accoy,3297,0.29641283826305853
acerb,2569,0.23096286972938956
acers,6460,0.5807785669333813
aceta,3370,0.3029758158770116
achar,2778,0.24975276454194012
ached,4177,0.37552818484221884
aches,7305,0.6567472804099613
achoo,2116,0.19023644700170816
acids,6380,0.5735862626989122
acidy,3727,0.33507147352333005
acing,2888,0.25964218286433516
acini,3025,0.2719590038658635
ackee,5022,0.4514968983187989
